OTUs,Domain,Phylum,Class,Order,Family,Genus
C215,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Gallicola
C216,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C217,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C218,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C219,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C220,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C221,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
C222,Bacteria,unclassified_Bacteria,,,,
C223,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C224,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella
C225,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C226,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C227,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C228,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C229,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C230,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,unclassified_Anaerolineaceae
C231,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C232,Bacteria,unclassified_Bacteria,,,,
C233,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema
C234,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C235,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C236,Bacteria,unclassified_Bacteria,,,,
C237,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C238,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio
C239,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C240,Bacteria,unclassified_Bacteria,,,,
C241,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella
C242,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C243,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,unclassified_Intrasporangiaceae
C244,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,unclassified_Porphyromonadaceae
C245,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Tissierella
C246,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Sporobacter
C247,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Sporobacter
C248,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C249,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis
C250,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C251,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C252,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C253,Bacteria,unclassified_Bacteria,,,,
C254,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C255,Bacteria,unclassified_Bacteria,,,,
C256,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C257,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C258,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,unclassified_Peptostreptococcaceae
C259,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C260,Bacteria,unclassified_Bacteria,,,,
C261,Bacteria,unclassified_Bacteria,,,,
C262,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
C263,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C264,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C265,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C266,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C267,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C268,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C269,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C270,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium
C271,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Sedimentibacter
C272,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C273,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,unclassified_Eubacteriaceae
C274,Bacteria,unclassified_Bacteria,,,,
